Major,Number,,,Department,Faculty,,,,,,,,,
bray,Math,,,,,,,Clark Bray,,,,,,
schott,Math,,,,,,,Sarah Schott,,,,,,
white,Neuroscience,,,,,,,Leonard White,,,,,,
salsman,Political Science,,,,,,,Richard Salsman,,,,,,
price,President,,,,,,,Vincent Price,,,,,,
rogerson,Pubic Policy,,,,,,,Ken Rogerson,,,,,,
hardt,Romance Studies,,,,,,,Michael Hardt,,,,,,
grody,Sociology,,,,,,,George Grody,,,,,,
banks,Statistics,,,,,,,David Banks,,,,,,
sue,Student Affairs,,,,,,,Dean Sue,,,,,,
shanahan,Sociology,,,,,,,Suzanne Shanahan,,,,,,
